State,StateAbbr,Year,Client,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Wyoming,WY,2013,Wyoming Liberty Group,Amy L Edmonds,Boyd O Wiggam,Jason C Gay,Maureen L Bader,Sven R Larson,Wendy Curran,,,,,,
Wyoming,WY,2013,Wyoming Construction Coalition Inc,Jan Cartwright,,,,,,,,,,,
Wyoming,WY,2013,Environmental Defense Fund,Jonathan W Goldstein,,,,,,,,,,,
Wyoming,WY,2013,Wyoming School Boards Association,Brian P Farmer,Jan A Stalcup,Shannon R Anderson,,,,,,,,,
Wyoming,WY,2013,United Steel Workers of America 13214,Dennis J Portillo,,,,,,,,,,,
Wyoming,WY,2013,Dental Dental of Wyoming,Kerry P Hall,,,,,,,,,,,
Wyoming,WY,2013,March of Dimes,James I Maxfield,,,,,,,,,,,
Wyoming,WY,2013,Exxon Mobil Corporation,Lisa Winn,,,,,,,,,,,
Wyoming,WY,2013,Access to Justice Commission,Lawrence J Wolfe,Sami L Falzone,Walter F Eggers III,,,,,,,,,
Wyoming,WY,2013,Wyoming Gun Owners,Anthony Bouchard,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Building Trades (Carpenters Union),Tim P Wells,,,,,,,,,,,
Wyoming,WY,2013,Black Hills Corp,Robert M Tarantola,,,,,,,,,,,
Wyoming,WY,2013,International Association of Fire Fighters,Jeffrey W Sather,Jonathan W Bertsch,,,,,,,,,,
Wyoming,WY,2013,Charter,Melissa Shannon,,,,,,,,,,,
Wyoming,WY,2013,Silverstar Communications,Ron B McCue,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Children's Law Center Inc,Donna M Sheen,,,,,,,,,,,
Wyoming,WY,2013,SourceGas Distribution,Norman P Long,,,,,,,,,,,
Wyoming,WY,2013,ACMS LLC,Sherlyn Kaiser,,,,,,,,,,,
Wyoming,WY,2013,Alliance of Automobile Manufacturers,Daniel B Sullivan,David C Picard,,,,,,,,,,
Wyoming,WY,2013,None disclosed,Thomas B Jubin,,,,,,,,,,,
Wyoming,WY,2013,Holland & Hart LLP,Matthew J Micheli,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Press Association,"Gerald (Jim) J Wood, Jr",Jim L Angell,,,,,,,,,,
Wyoming,WY,2013,Federated Firefighters,Sarah Y DeLay,,,,,,,,,,,
Wyoming,WY,2013,American Quarter Horse Association,Judy R Horton,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Parents Empowering Parents,Annie McGlothlin,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Assoc of Sheriffs & Chiefs of Police,John T Robitaille,Mike Hays,Tony Rose,,,,,,,,,
Wyoming,WY,2013,Wyoming Game Wardens Association,Daniel W Beach,Irah E Leonetti,,,,,,,,,,
Wyoming,WY,2013,3m,Liz T Zerga,,,,,,,,,,,
Wyoming,WY,2013,Rare Element Resources Inc,George G Byers,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Stock Growers Association,James H Magagna,,,,,,,,,,,
Wyoming,WY,2013,Federated Fire Fighters of Wyoming,Caleb R Kamarad,Clint W Ensign,Collin M Moody,David R Beightol,Douglas W Keune,Titus J Norris,,,,,,
Wyoming,WY,2013,Federal Fire Fighters,Andrew J Dyl,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Student Loan Corporation,Phil F Van Horn,,,,,,,,,,,
Wyoming,WY,2013,Self,Bryce R Reece,Elizabeth Storer,Hannah M Nerone,John F Parr,Maria O Sierocki,Michael D Sikorski,Property & Casualty Insurers Association of,William S Goodwin,,,,
Wyoming,WY,2013,The Sinclair Companies,Clint W Ensign,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Sportsmen for Fish & Wildlife,Bob Wharff,,,,,,,,,,,
Wyoming,WY,2013,Retired Firefighters of Wyoming,Patrick J Crank,,,,,,,,,,,
Wyoming,WY,2013,United HealthCare Services Inc,Erin Russell,,,,,,,,,,,
Wyoming,WY,2013,Chesapeake Energy Corporation,John D Dill,,,,,,,,,,,
Wyoming,WY,2013,Federated Fire Fighters Union,Jason T Lindsay,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Association of Sheriffs & Chiefs of,Byron F Oedekoven,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Mining Association,Travis Deti,,,,,,,,,,,
